expected step
exploit, step:  51727, spool: 2.20, diameter: 50.50, speed: 80.16, motorV: 82.69, extfrq: 80.89, target: 49.20, greedy_m: 82.69, greedy_e: 80.89, reward: 0.910, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.105
exploit, step:  51728, spool: 2.24, diameter: 49.90, speed: 80.80, motorV: 82.84, extfrq: 81.09, target: 49.20, greedy_m: 82.84, greedy_e: 81.09, reward: 0.970, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.933
exploit, step:  51729, spool: 2.28, diameter: 48.00, speed: 81.52, motorV: 83.03, extfrq: 81.15, target: 49.20, greedy_m: 83.03, greedy_e: 81.15, reward: 0.921, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:  51730, spool: 2.31, diameter: 49.20, speed: 81.76, motorV: 83.35, extfrq: 80.87, target: 49.20, greedy_m: 83.35, greedy_e: 80.87, reward: 1.041, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:  51731, spool: 2.35, diameter: 49.60, speed: 81.52, motorV: 83.66, extfrq: 80.47, target: 49.20, greedy_m: 83.66, greedy_e: 80.47, reward: 1.000, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:  51732, spool: 2.39, diameter: 49.90, speed: 82.16, motorV: 83.90, extfrq: 80.16, target: 49.20, greedy_m: 83.90, greedy_e: 80.16, reward: 0.970, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.968
exploit, step:  51733, spool: 2.43, diameter: 51.00, speed: 82.72, motorV: 84.05, extfrq: 79.80, target: 49.20, greedy_m: 84.05, greedy_e: 79.80, reward: 0.860, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.968
exploit, step:  51734, spool: 2.47, diameter: 51.80, speed: 82.48, motorV: 84.12, extfrq: 79.34, target: 49.20, greedy_m: 84.12, greedy_e: 79.34, reward: 0.780, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.933
exploit, step:  51735, spool: 2.51, diameter: 52.20, speed: 83.36, motorV: 84.05, extfrq: 78.80, target: 49.20, greedy_m: 84.05, greedy_e: 78.80, reward: 0.740, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:  51736, spool: 2.54, diameter: 52.70, speed: 83.28, motorV: 83.87, extfrq: 78.25, target: 49.20, greedy_m: 83.87, greedy_e: 78.25, reward: 0.689, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
