expected step
explore, step:  41185, spool: 1.63, diameter: 53.60, speed: 70.56, motorV: 74.44, extfrq: 73.11, target: 50.30, greedy_m: 73.92, greedy_e: 74.02, reward: 0.707, Q_exam: 57.236, am_exam: 39.985, a_exam: 70.940,  1, temp: 79.727
explore, step:  41186, spool: 1.66, diameter: 53.90, speed: 74.08, motorV: 75.49, extfrq: 72.38, target: 50.30, greedy_m: 74.83, greedy_e: 73.34, reward: 0.677, Q_exam: 61.919, am_exam: 66.375, a_exam: 32.088,  2, temp: 79.761
explore, step:  41187, spool: 1.70, diameter: 53.70, speed: 73.76, motorV: 82.39, extfrq: 73.32, target: 50.30, greedy_m: 81.24, greedy_e: 74.27, reward: 0.696, Q_exam: 60.680, am_exam: 33.809, a_exam: 58.888,  4, temp: 79.830
explore, step:  41188, spool: 1.73, diameter: 53.60, speed: 72.64, motorV: 87.83, extfrq: 75.70, target: 50.30, greedy_m: 86.90, greedy_e: 76.74, reward: 0.707, Q_exam: 39.676, am_exam: 36.823, a_exam: 64.573,  6, temp: 79.830
explore, step:  41189, spool: 1.77, diameter: 55.50, speed: 74.08, motorV: 90.55, extfrq: 77.23, target: 50.30, greedy_m: 89.64, greedy_e: 78.45, reward: 0.518, Q_exam: 63.678, am_exam: 77.936, a_exam: 55.957,  7, temp: 79.796
explore, step:  41190, spool: 1.81, diameter: 55.90, speed: 79.92, motorV: 92.86, extfrq: 77.96, target: 50.30, greedy_m: 92.05, greedy_e: 78.54, reward: 0.479, Q_exam: 37.794, am_exam: 34.700, a_exam: 64.501,  9, temp: 79.830
explore, step:  41191, spool: 1.84, diameter: 56.70, speed: 84.96, motorV: 95.01, extfrq: 77.20, target: 50.30, greedy_m: 94.39, greedy_e: 77.92, reward: 0.399, Q_exam: 57.724, am_exam: 37.122, a_exam: 46.366,  1, temp: 79.692
explore, step:  41192, spool: 1.88, diameter: 54.70, speed: 88.48, motorV: 97.21, extfrq: 76.52, target: 50.30, greedy_m: 96.41, greedy_e: 77.17, reward: 0.599, Q_exam: 62.365, am_exam: 68.859, a_exam: 34.114,  3, temp: 79.761
explore, step:  41193, spool: 1.92, diameter: 50.50, speed: 90.96, motorV: 98.18, extfrq: 76.09, target: 50.30, greedy_m: 97.60, greedy_e: 76.69, reward: 1.018, Q_exam: 60.328, am_exam: 35.270, a_exam: 59.224,  4, temp: 79.727
explore, step:  41194, spool: 1.96, diameter: 48.30, speed: 93.04, motorV: 98.66, extfrq: 75.37, target: 50.30, greedy_m: 97.96, greedy_e: 76.23, reward: 0.838, Q_exam: 38.964, am_exam: 41.051, a_exam: 42.355,  6, temp: 79.761
explore, step:  41195, spool: 1.99, diameter: 46.70, speed: 94.40, motorV: 98.71, extfrq: 75.12, target: 50.30, greedy_m: 98.24, greedy_e: 76.22, reward: 0.678, Q_exam: 62.911, am_exam: 78.539, a_exam: 55.635,  7, temp: 79.727
explore, step:  41196, spool: 2.03, diameter: 45.20, speed: 95.04, motorV: 98.49, extfrq: 75.83, target: 50.30, greedy_m: 98.38, greedy_e: 76.67, reward: 0.528, Q_exam: 38.152, am_exam: 35.913, a_exam: 63.746,  9, temp: 79.864
explore, step:  41197, spool: 2.07, diameter: 45.40, speed: 95.36, motorV: 98.99, extfrq: 76.86, target: 50.30, greedy_m: 98.78, greedy_e: 77.74, reward: 0.548, Q_exam: 63.219, am_exam: 18.771, a_exam: 70.603,  1, temp: 79.761
explore, step:  41198, spool: 2.10, diameter: 46.00, speed: 95.20, motorV: 99.06, extfrq: 78.21, target: 50.30, greedy_m: 99.17, greedy_e: 79.00, reward: 0.608, Q_exam: 61.721, am_exam: 67.915, a_exam: 34.097,  2, temp: 79.864
explore, step:  41199, spool: 2.14, diameter: 48.20, speed: 95.36, motorV: 98.60, extfrq: 79.14, target: 50.30, greedy_m: 99.07, greedy_e: 79.99, reward: 0.829, Q_exam: 60.072, am_exam: 32.748, a_exam: 58.568,  4, temp: 79.968
explore, step:  41200, spool: 2.18, diameter: 48.10, speed: 95.76, motorV: 98.70, extfrq: 80.65, target: 50.30, greedy_m: 99.04, greedy_e: 80.96, reward: 0.820, Q_exam: 38.800, am_exam: 39.602, a_exam: 63.016,  6, temp: 79.796
explore, step:  41201, spool: 2.22, diameter: 49.00, speed: 95.44, motorV: 98.67, extfrq: 81.90, target: 50.30, greedy_m: 99.15, greedy_e: 81.90, reward: 0.910, Q_exam: 63.906, am_exam: 77.288, a_exam: 55.459,  7, temp: 79.727
explore, step:  41202, spool: 2.26, diameter: 49.80, speed: 95.36, motorV: 98.99, extfrq: 83.02, target: 50.30, greedy_m: 99.34, greedy_e: 82.96, reward: 0.991, Q_exam: 37.694, am_exam: 35.060, a_exam: 63.844,  9, temp: 79.864
explore, step:  41203, spool: 2.30, diameter: 49.70, speed: 95.44, motorV: 99.29, extfrq: 84.00, target: 50.30, greedy_m: 99.37, greedy_e: 83.78, reward: 0.982, Q_exam: 57.213, am_exam: 17.793, a_exam: 70.652,  1, temp: 79.761
explore, step:  41204, spool: 2.34, diameter: 49.90, speed: 95.36, motorV: 98.54, extfrq: 83.32, target: 50.30, greedy_m: 98.79, greedy_e: 82.98, reward: 1.002, Q_exam: 62.075, am_exam: 67.813, a_exam: 35.712,  2, temp: 79.864
explore, step:  41205, spool: 2.38, diameter: 49.10, speed: 95.76, motorV: 96.81, extfrq: 82.18, target: 50.30, greedy_m: 97.46, greedy_e: 81.83, reward: 0.922, Q_exam: 61.260, am_exam: 32.741, a_exam: 58.376,  4, temp: 79.796
explore, step:  41206, spool: 2.42, diameter: 49.40, speed: 95.52, motorV: 95.38, extfrq: 80.71, target: 50.30, greedy_m: 95.80, greedy_e: 80.47, reward: 0.951, Q_exam: 63.647, am_exam: 74.742, a_exam: 45.805,  5, temp: 79.796
