expected step
exploit, step:  51738, spool: 2.06, diameter: 39.90, speed: 101.28, motorV: 100.00, extfrq: 48.70, target: 33.10, greedy_m: 100.61, greedy_e: 48.70, reward: 0.344, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:  51739, spool: 2.09, diameter: 40.00, speed: 101.52, motorV: 100.00, extfrq: 48.46, target: 33.10, greedy_m: 100.69, greedy_e: 48.46, reward: 0.334, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:  51740, spool: 2.12, diameter: 41.70, speed: 101.44, motorV: 100.00, extfrq: 48.22, target: 33.10, greedy_m: 100.73, greedy_e: 48.22, reward: 0.164, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.933
exploit, step:  51741, spool: 2.14, diameter: 42.10, speed: 101.36, motorV: 100.00, extfrq: 48.01, target: 33.10, greedy_m: 100.74, greedy_e: 48.01, reward: 0.124, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:  51742, spool: 2.17, diameter: 39.20, speed: 101.44, motorV: 100.00, extfrq: 47.83, target: 33.10, greedy_m: 100.72, greedy_e: 47.83, reward: 0.414, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.968
exploit, step:  51743, spool: 2.20, diameter: 36.00, speed: 101.28, motorV: 100.00, extfrq: 47.73, target: 33.10, greedy_m: 100.68, greedy_e: 47.73, reward: 0.734, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.968
exploit, step:  51744, spool: 2.22, diameter: 36.70, speed: 101.52, motorV: 100.00, extfrq: 47.71, target: 33.10, greedy_m: 100.62, greedy_e: 47.71, reward: 0.664, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:  51745, spool: 2.25, diameter: 36.80, speed: 101.44, motorV: 100.00, extfrq: 47.76, target: 33.10, greedy_m: 100.55, greedy_e: 47.76, reward: 0.654, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.864
exploit, step:  51746, spool: 2.27, diameter: 38.40, speed: 101.28, motorV: 100.00, extfrq: 47.87, target: 33.10, greedy_m: 100.46, greedy_e: 47.87, reward: 0.494, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:  51747, spool: 2.30, diameter: 38.10, speed: 101.44, motorV: 100.00, extfrq: 47.97, target: 33.10, greedy_m: 100.35, greedy_e: 47.97, reward: 0.524, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.864
exploit, step:  51748, spool: 2.33, diameter: 37.00, speed: 101.28, motorV: 100.00, extfrq: 48.04, target: 33.10, greedy_m: 100.25, greedy_e: 48.04, reward: 0.634, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:  51749, spool: 2.35, diameter: 37.70, speed: 101.36, motorV: 100.00, extfrq: 48.05, target: 33.10, greedy_m: 100.16, greedy_e: 48.05, reward: 0.564, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.796
exploit, step:  51750, spool: 2.38, diameter: 37.90, speed: 101.44, motorV: 100.00, extfrq: 48.00, target: 33.10, greedy_m: 100.09, greedy_e: 48.00, reward: 0.544, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:  51751, spool: 2.40, diameter: 38.20, speed: 101.28, motorV: 100.00, extfrq: 47.96, target: 33.10, greedy_m: 100.02, greedy_e: 47.96, reward: 0.514, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:  51752, spool: 2.43, diameter: 38.40, speed: 101.44, motorV: 99.94, extfrq: 47.90, target: 33.10, greedy_m: 99.94, greedy_e: 47.90, reward: 0.494, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.796
exploit, step:  51753, spool: 2.46, diameter: 38.90, speed: 101.44, motorV: 99.87, extfrq: 47.83, target: 33.10, greedy_m: 99.87, greedy_e: 47.83, reward: 0.444, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.796
exploit, step:  51754, spool: 2.48, diameter: 40.80, speed: 101.28, motorV: 99.80, extfrq: 47.76, target: 33.10, greedy_m: 99.80, greedy_e: 47.76, reward: 0.254, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.933
exploit, step:  51755, spool: 2.51, diameter: 41.20, speed: 101.04, motorV: 99.74, extfrq: 47.70, target: 33.10, greedy_m: 99.74, greedy_e: 47.70, reward: 0.214, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.864
exploit, step:  51756, spool: 2.53, diameter: 39.40, speed: 100.64, motorV: 99.67, extfrq: 47.68, target: 33.10, greedy_m: 99.67, greedy_e: 47.68, reward: 0.394, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:  51757, spool: 2.56, diameter: 37.70, speed: 100.24, motorV: 99.61, extfrq: 47.66, target: 33.10, greedy_m: 99.61, greedy_e: 47.66, reward: 0.564, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.761
exploit, step:  51758, spool: 2.59, diameter: 37.70, speed: 100.08, motorV: 99.56, extfrq: 47.64, target: 33.10, greedy_m: 99.56, greedy_e: 47.64, reward: 0.564, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:  51759, spool: 2.61, diameter: 37.60, speed: 99.84, motorV: 99.52, extfrq: 47.61, target: 33.10, greedy_m: 99.52, greedy_e: 47.61, reward: 0.574, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.864
exploit, step:  51760, spool: 2.64, diameter: 38.00, speed: 99.60, motorV: 99.51, extfrq: 47.58, target: 33.10, greedy_m: 99.51, greedy_e: 47.58, reward: 0.534, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:  51761, spool: 2.66, diameter: 40.90, speed: 99.44, motorV: 99.52, extfrq: 47.57, target: 33.10, greedy_m: 99.52, greedy_e: 47.57, reward: 0.244, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.830
exploit, step:  51762, spool: 2.69, diameter: 41.60, speed: 99.28, motorV: 99.54, extfrq: 47.65, target: 33.10, greedy_m: 99.54, greedy_e: 47.65, reward: 0.174, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.864
exploit, step:  51763, spool: 2.72, diameter: 41.80, speed: 99.44, motorV: 99.58, extfrq: 47.73, target: 33.10, greedy_m: 99.58, greedy_e: 47.73, reward: 0.154, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.830
exploit, step:  51764, spool: 2.74, diameter: 42.60, speed: 99.44, motorV: 99.60, extfrq: 47.79, target: 33.10, greedy_m: 99.60, greedy_e: 47.79, reward: 0.074, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.830
