expected step
exploit, step:     46, spool: 1.59, diameter: 42.70, speed: 100.64, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.62, greedy_e: -0.32, reward: 0.816, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.968
exploit, step:     47, spool: 1.63, diameter: 44.80, speed: 100.64, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.60, greedy_e: -0.34, reward: 1.026, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:     48, spool: 1.66, diameter: 45.40, speed: 100.56, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.53, greedy_e: -0.47, reward: 0.986, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.727
exploit, step:     49, spool: 1.70, diameter: 46.60, speed: 100.56, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.43, greedy_e: -0.59, reward: 0.866, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:     50, spool: 1.73, diameter: 47.30, speed: 100.40, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.47, greedy_e: -0.59, reward: 0.796, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.761
exploit, step:     51, spool: 1.77, diameter: 48.40, speed: 100.48, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.46, greedy_e: -0.57, reward: 0.686, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.830
exploit, step:     52, spool: 1.80, diameter: 47.10, speed: 100.56, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.45, greedy_e: -0.54, reward: 0.816, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.968
exploit, step:     53, spool: 1.84, diameter: 46.40, speed: 100.48, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.45, greedy_e: -0.52, reward: 0.886, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:     54, spool: 1.88, diameter: 46.40, speed: 100.64, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.45, greedy_e: -0.50, reward: 0.886, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.864
exploit, step:     55, spool: 1.91, diameter: 43.10, speed: 100.56, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.45, greedy_e: -0.48, reward: 0.856, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:     56, spool: 1.95, diameter: 44.50, speed: 100.32, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.45, greedy_e: -0.46, reward: 0.996, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:     57, spool: 1.98, diameter: 46.50, speed: 100.48, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.46, greedy_e: -0.45, reward: 0.876, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
